,Sr No.,Reference No (URN),Journal Date,"Date of
Purchase",Date of Expiry,Name of the Purchaser,Prefix,"Bond
Number",Denominations,Issue Branch Code,Issue Teller,Status
0,1,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,TL,11448,1000000,1,5899230,Paid
1,2,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,TL,11447,1000000,1,5899230,Paid
2,3,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,TL,11441,1000000,1,5899230,Paid
3,4,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1113,100000,1,5899230,Paid
4,5,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1118,100000,1,5899230,Paid
5,6,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1112,100000,1,5899230,Paid
6,7,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1115,100000,1,5899230,Paid
7,8,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1119,100000,1,5899230,Paid
8,9,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1110,100000,1,5899230,Paid
9,10,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1111,100000,1,5899230,Paid
10,11,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1106,100000,1,5899230,Paid
11,12,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1114,100000,1,5899230,Paid
12,13,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1117,100000,1,5899230,Paid
13,14,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11556,1000000,1,5899230,Paid
14,15,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11555,1000000,1,5899230,Paid
15,16,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1125,100000,1,5899230,Paid
16,17,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1129,100000,1,5899230,Paid
17,18,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1124,100000,1,5899230,Paid
18,19,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1128,100000,1,5899230,Paid
19,20,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1126,100000,1,5899230,Paid
20,21,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ARIHANT ENTERPRISES,TL,11551,1000000,1,5899230,Paid
21,22,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ARIHANT ENTERPRISES,TL,11554,1000000,1,5899230,Paid
22,23,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ARIHANT ENTERPRISES,TL,11553,1000000,1,5899230,Paid
23,24,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ARIHANT ENTERPRISES,TL,11552,1000000,1,5899230,Paid
24,25,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,CHOUDHARY GARMENTS,TL,12904,1000000,300,4180496,Paid
25,26,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,CHOUDHARY GARMENTS,TL,12902,1000000,300,4180496,Paid
26,27,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6297,10000000,1,5899230,Paid
27,28,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6275,10000000,1,5899230,Paid
28,29,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6261,10000000,1,5899230,Paid
29,30,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6278,10000000,1,5899230,Paid
30,31,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6262,10000000,1,5899230,Paid
31,32,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6274,10000000,1,5899230,Paid
32,33,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6257,10000000,1,5899230,Paid
33,34,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6273,10000000,1,5899230,Paid
34,35,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6272,10000000,1,5899230,Paid
35,36,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6280,10000000,1,5899230,Paid
36,37,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6251,10000000,1,5899230,Paid
37,38,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,4597,10000000,1,5899230,Paid
38,39,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6279,10000000,1,5899230,Paid
39,40,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6296,10000000,1,5899230,Paid
40,41,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6256,10000000,1,5899230,Paid
41,42,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6286,10000000,1,5899230,Paid
42,43,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6298,10000000,1,5899230,Paid
43,44,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6267,10000000,1,5899230,Paid
44,45,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,4632,10000000,1,5899230,Paid
45,46,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6284,10000000,1,5899230,Paid
46,47,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6254,10000000,1,5899230,Paid
47,48,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6292,10000000,1,5899230,Paid
48,49,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6268,10000000,1,5899230,Paid
0,50,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6258,10000000,1,5899230,Paid
1,51,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6253,10000000,1,5899230,Paid
2,52,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6293,10000000,1,5899230,Paid
3,53,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6281,10000000,1,5899230,Paid
4,54,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6264,10000000,1,5899230,Paid
5,55,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6288,10000000,1,5899230,Paid
6,56,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6300,10000000,1,5899230,Paid
7,57,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6269,10000000,1,5899230,Paid
8,58,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,4598,10000000,1,5899230,Paid
9,59,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6263,10000000,1,5899230,Paid
10,60,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6270,10000000,1,5899230,Paid
11,61,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6283,10000000,1,5899230,Paid
12,62,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6299,10000000,1,5899230,Paid
13,63,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6271,10000000,1,5899230,Paid
14,64,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6252,10000000,1,5899230,Paid
15,65,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6282,10000000,1,5899230,Paid
16,66,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6259,10000000,1,5899230,Paid
17,67,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6295,10000000,1,5899230,Paid
18,68,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6260,10000000,1,5899230,Paid
19,69,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6255,10000000,1,5899230,Paid
20,70,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6265,10000000,1,5899230,Paid
21,71,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6285,10000000,1,5899230,Paid
22,72,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6289,10000000,1,5899230,Paid
23,73,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6291,10000000,1,5899230,Paid
24,74,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6294,10000000,1,5899230,Paid
25,75,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6287,10000000,1,5899230,Paid
26,76,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,TL,11440,1000000,1,5899230,Paid
27,77,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,TL,11437,1000000,1,5899230,Paid
28,78,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,TL,11439,1000000,1,5899230,Paid
29,79,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,TL,11445,1000000,1,5899230,Paid
30,80,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,TL,11438,1000000,1,5899230,Paid
31,81,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,TL,11432,1000000,1,5899230,Paid
32,82,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,TL,11444,1000000,1,5899230,Paid
33,83,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,TL,11443,1000000,1,5899230,Paid
34,84,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,TL,11446,1000000,1,5899230,Paid
35,85,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,TL,11442,1000000,1,5899230,Paid
36,86,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7045,10000000,300,4180496,Paid
37,87,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7041,10000000,300,4180496,Paid
38,88,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7025,10000000,300,4180496,Paid
39,89,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7051,10000000,300,4180496,Paid
40,90,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7035,10000000,300,4180496,Paid
41,91,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7059,10000000,300,4180496,Paid
42,92,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7037,10000000,300,4180496,Paid
43,93,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7033,10000000,300,4180496,Paid
44,94,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7053,10000000,300,4180496,Paid
45,95,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7061,10000000,300,4180496,Paid
46,96,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7029,10000000,300,4180496,Paid
47,97,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7049,10000000,300,4180496,Paid
48,98,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7057,10000000,300,4180496,Paid
0,99,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7043,10000000,300,4180496,Paid
1,100,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7039,10000000,300,4180496,Paid
2,101,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7047,10000000,300,4180496,Paid
3,102,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7027,10000000,300,4180496,Paid
4,103,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7055,10000000,300,4180496,Paid
5,104,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7031,10000000,300,4180496,Paid
6,105,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,GRASIM INDUSTRIES LTD,OC,7023,10000000,300,4180496,Paid
7,106,5.0920190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,TL,3410,1000000,509,7315678,Paid
8,107,5.0920190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,TL,3407,1000000,509,7315678,Paid
9,108,5.0920190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,TL,3412,1000000,509,7315678,Paid
10,109,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,INNOCENT MERCHANDISE PVT LTD,TL,11557,1000000,1,5899230,Paid
11,110,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,INNOCENT MERCHANDISE PVT LTD,TL,11558,1000000,1,5899230,Paid
12,111,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,INNOCENT MERCHANDISE PVT LTD,OL,1133,100000,1,5899230,Paid
13,112,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,INNOCENT MERCHANDISE PVT LTD,OL,1127,100000,1,5899230,Paid
14,113,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,INNOCENT MERCHANDISE PVT LTD,OL,1131,100000,1,5899230,Paid
15,114,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,INNOCENT MERCHANDISE PVT LTD,OL,1130,100000,1,5899230,Paid
16,115,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,INNOCENT MERCHANDISE PVT LTD,OL,1132,100000,1,5899230,Paid
17,116,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,KAMLANG SAW & VENEER MILLS PVT LTD,TL,2344,1000000,78,7601204,Paid
18,117,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,KAMLANG SAW & VENEER MILLS PVT LTD,TL,2341,1000000,78,7601204,Paid
19,118,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5485,10000000,847,8424020,Paid
20,119,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5465,10000000,847,8424020,Paid
21,120,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5497,10000000,847,8424020,Paid
22,121,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5510,10000000,847,8424020,Paid
23,122,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5484,10000000,847,8424020,Paid
24,123,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5522,10000000,847,8424020,Paid
25,124,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5490,10000000,847,8424020,Paid
26,125,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5496,10000000,847,8424020,Paid
27,126,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5456,10000000,847,8424020,Paid
28,127,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5469,10000000,847,8424020,Paid
29,128,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5495,10000000,847,8424020,Paid
30,129,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5503,10000000,847,8424020,Paid
31,130,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5486,10000000,847,8424020,Paid
32,131,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5482,10000000,847,8424020,Paid
33,132,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5502,10000000,847,8424020,Paid
34,133,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5500,10000000,847,8424020,Paid
35,134,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5483,10000000,847,8424020,Paid
36,135,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5479,10000000,847,8424020,Paid
37,136,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5473,10000000,847,8424020,Paid
38,137,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5518,10000000,847,8424020,Paid
39,138,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5476,10000000,847,8424020,Paid
40,139,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5501,10000000,847,8424020,Paid
41,140,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5489,10000000,847,8424020,Paid
42,141,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5487,10000000,847,8424020,Paid
43,142,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5499,10000000,847,8424020,Paid
44,143,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5452,10000000,847,8424020,Paid
45,144,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5480,10000000,847,8424020,Paid
46,145,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5494,10000000,847,8424020,Paid
47,146,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5516,10000000,847,8424020,Paid
48,147,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5520,10000000,847,8424020,Paid
0,148,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5506,10000000,847,8424020,Paid
1,149,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5511,10000000,847,8424020,Paid
2,150,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5507,10000000,847,8424020,Paid
3,151,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5505,10000000,847,8424020,Paid
4,152,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5512,10000000,847,8424020,Paid
5,153,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5504,10000000,847,8424020,Paid
6,154,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5508,10000000,847,8424020,Paid
7,155,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5493,10000000,847,8424020,Paid
8,156,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5514,10000000,847,8424020,Paid
9,157,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5478,10000000,847,8424020,Paid
10,158,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5498,10000000,847,8424020,Paid
11,159,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5524,10000000,847,8424020,Paid
12,160,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5488,10000000,847,8424020,Paid
13,161,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5477,10000000,847,8424020,Paid
14,162,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5492,10000000,847,8424020,Paid
15,163,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5491,10000000,847,8424020,Paid
16,164,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5513,10000000,847,8424020,Paid
17,165,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5461,10000000,847,8424020,Paid
